registrado_em,url,titulo,fonte,marca,status,edicao,data_item,motivo
2026-09-08,https://portal.febraban.org.br/noticia/4489/pt-br/,A Febraban pôs a supervisão humana no título do evento,Portal Febraban,,publicado,2026-08,2026-08-24,
2026-09-08,https://www.ogj.com/general-interest/economics-markets/news/55399249/venezuela-pitches-oil-gas-investment-opportunities-at-houston-showcase,"A Venezuela foi a Houston pedir tecnologia, não só capital",Oil & Gas Journal,,publicado,2026-08,2026-08-19,
2026-09-08,https://www.linkedin.com/posts/neurocraft-data-services-inc_neuroearthiq-neurocraftai-agenticai-activity-7495830716673380352-kVk9,NeuroEarthIQ™: agentes de subsuperfície sob supervisão humana,Neurocraft Data Services (LinkedIn),neurocraft,publicado,2026-08,2026-08-19,
2026-09-08,https://www.linkedin.com/posts/marcos-almeida-94147610_neuromineiq-neurocraftai-rocknrg-activity-7495105929072336896-kdEr,NeuroMineIQ™ leva a mesma arquitetura para minerais críticos,Marcos Almeida (LinkedIn),neurocraft,publicado,2026-08,2026-08-17,
2026-09-08,https://es.linkedin.com/posts/vexta-ai_oilandgas-productionengineering-upstream-activity-7495479622067781634--LsJ,ProdEng IQ troca a varredura manual por ranking diário de decisões,Vexta (LinkedIn),vexta,publicado,2026-08,2026-08-18,
2026-09-08,https://www.linkedin.com/posts/vexta-ai_activity-7497311484696461312-GNR5,Detecção automática de derrame em Santa Cruz,Vexta (LinkedIn),vexta,publicado,2026-08,2026-08-23,
2026-09-08,https://www.linkedin.com/posts/neurocraft-data-services-inc_neurocraft-datamint-microsoft-activity-7491619097689067520-8Cug,Parceria com a Neurocraft cobre as Américas,Neurocraft Data Services (LinkedIn),datamint,publicado,2026-08,2026-08-07,
2026-09-08,https://www.tiinside.com.br/en/15/06/2026/Datamint-raises-R%2425-million-in-seed-round-to-expand-proprietary-AI-platform-for-asset-management./,A rodada seed de US$ 5 milhões dá o contexto do movimento,TI INSIDE Online,datamint,publicado,2026-08,2026-06-15,
2026-09-08,https://www.linkedin.com/posts/bizmetric_bizevent-databricks-dataaisummit-activity-7490302447576457218-zqde,Mesa executiva com a Databricks em Manila,Bizmetric (LinkedIn),bizmetric,publicado,2026-08,2026-08-04,
2026-09-08,https://portal.febraban.org.br/noticia/4484/pt-br/,Deep dive · A supervisão humana virou requisito de compra,Portal Febraban — programação do Febraban Tech 2026,,publicado,2026-08,,
2026-09-08,https://datamint.com.br/pt/,Deep dive · A supervisão humana virou requisito de compra,Datamint — decisão auditável,,publicado,2026-08,,
2026-09-08,https://www.linkedin.com/posts/marcos-almeida-94147610_industrialai-agenticai-microsoftfabric-activity-7495464755004940289-zABF,"Industrial Intelligence Ecosystem, apresentado em 18/08 reunindo os parceiros das Américas",,neurocraft,cortado,2026-08,,"Aprovado na régua (10/12), cortado por equilíbrio editorial e extensão: três blocos da própria casa na mesma edição pesa como release e empurrou o texto para 1.577 palavras. O ponto que ele carregava — quem responde pela camada de campo e quem responde pela corporativa — merece um deep dive próprio, não um item de nota."
2026-09-08,https://www.linkedin.com/posts/neurocraft-data-services-inc_home-activity-7447351344543404032-TDRL,"Contrato de consultoria de IA com o Houston-Galveston Area Council (HGAC), 13 condados da costa do Texas, com Bizmetric e Maxari como parceiras",,neurocraft,cortado,2026-08,,Anúncio anterior à janela e sem data confirmada em fonte primária. Evidência 1 — reprovado. Vale uma edição própria se houver marco de entrega.
2026-09-08,https://www.linkedin.com/posts/bizmetric_bizmetric-fabricfeaturedpartner-microsoft-activity-7472321187956568064-R_mR,Bizmetric torna-se Microsoft Fabric Featured Partner,,bizmetric,cortado,2026-08,,"Publicado em 15/06/2026, fora da janela. Novidade 0 — reprovado."
2026-09-08,https://www.linkedin.com/posts/bizmetric_bizmetric-is-promoted-to-silver-tier-in-databricks-activity-7427762980861440000-SkET,Elevação ao Silver Tier no Databricks Partner Program,,bizmetric,cortado,2026-08,,"Publicado em 12/02/2026, muito fora da janela. Reprovado."
2026-09-08,https://es.linkedin.com/posts/vexta-ai_industrialai-oilandgas-innovation-activity-7467678531351908352-zayL,Aliança com a Neurocraft para o mercado norte-americano e o Permian,,vexta,cortado,2026-08,,"Anúncio de 02/06/2026, fora da janela e já coberto na ocasião. Novidade 0 — reprovado. Retomado apenas de forma indireta no item do Industrial Intelligence Ecosystem, que é de agosto."
